N_Series,Series_ID,Horizon,MAE,RMSE
370,MT_140,96,4.505244810905707,9.147020055274506
370,MT_141,96,0.3120983094078988,0.47820487987293553
370,MT_142,96,10.614363507327875,12.799993711530652
370,MT_143,96,29.137739728728576,34.03467881642301
370,MT_144,96,5.942714802621928,7.0942833327886445
370,MT_145,96,2.587829816761531,3.0575111214966775
370,MT_146,96,1.9856276240668393,2.9804976295545496
370,MT_147,96,69.88858286539734,106.63006771473957
370,MT_148,96,8.43900316346858,12.951506296188613
370,MT_149,96,2.3705764390602635,3.2205562799017704
370,MT_150,96,0.31607401040271754,0.45114121508014055
370,MT_151,96,15.988346424723353,24.845392616339986
370,MT_152,96,54.21676262267679,68.8708396022861
370,MT_153,96,32.012212928419686,46.91054787950897
370,MT_154,96,2.471612297997693,3.193046327575497
370,MT_155,96,44.76842229454613,57.0658972112908
370,MT_156,96,27.233774295689102,37.703634540079335
370,MT_157,96,352.2110233655009,471.4693931271668
370,MT_158,96,30.742714873397205,38.8757109651818
370,MT_159,96,2.751544531658384,3.5371926730485006
370,MT_160,96,3.005134306096901,5.1498927941227715
370,MT_161,96,229.24153484140402,292.43293837852
370,MT_162,96,134.60048144712343,172.89927125442344
370,MT_163,96,157.96140939152895,213.57327959452743
370,MT_164,96,37.54816020527745,57.25445080269806
370,MT_165,96,3.4324510973989466,4.299654533306529
370,MT_166,96,61.27020715706499,76.05309518770252
370,MT_167,96,5.3569564945744075,7.400526821681464
370,MT_168,96,8.928367077810927,12.402955453602111
370,MT_169,96,1.9177666595644025,2.6489631813491705
370,MT_170,96,4.946077261330953,7.419876604619905
370,MT_171,96,9.52013635755428,12.840089334668743
370,MT_172,96,8.291015531077528,10.938814270158149
370,MT_173,96,3.31193827166868,4.414372300127577
370,MT_174,96,5.427238591560845,7.191916530725599
370,MT_175,96,13.730538865976191,18.488084490128
370,MT_176,96,4.103349006986556,5.753747896483521
370,MT_177,96,11.59888724938125,16.769749408953963
370,MT_178,96,8.870238346643291e-10,1.1818306810262635e-09
370,MT_179,96,5.015417337583879,6.829778724929282
370,MT_180,96,7.18692776565431,10.24518273177184
370,MT_181,96,7.000195474819989,9.418215621325007
370,MT_182,96,3.119780438437486,3.907634097705924
370,MT_183,96,3.2418291122015055,4.449491153906147
370,MT_184,96,4.290690592335196,5.681606182536182
370,MT_185,96,4.465951439467051,5.780883069781432
370,MT_186,96,33.69258203562237,44.809950130880665
370,MT_187,96,3.8098395171225765,4.852394725533006
370,MT_188,96,1.4362531541803414,1.9951862842778254
370,MT_189,96,16.221190696259047,21.007622588434085
370,MT_190,96,13.235262507683847,17.150688888113525
370,MT_191,96,72.95467950285727,94.0334857108543
370,MT_192,96,16.106542163780578,27.061594975377062
370,MT_193,96,12.743803186709984,17.957902753363275
370,MT_194,96,77.69418955657392,91.02043481575801
370,MT_195,96,19.65290659642531,31.83150596505377
370,MT_196,96,846.1205749511668,1090.227991366179
370,MT_197,96,8.526362578928703,10.645297153385997
370,MT_198,96,17.293873247848197,27.74957919099605
370,MT_199,96,10.302447935856838,14.256943415937396
370,MT_200,96,45.826276539706186,64.88315108824555
370,MT_201,96,15.54034422081026,22.887689696157697
370,MT_202,96,10.605717007543003,15.226312968119874
370,MT_203,96,18.501635089997347,24.27225704523423
370,MT_204,96,53.63811314995607,91.40054166537864
370,MT_205,96,40.448267430235425,51.19221684377028
370,MT_206,96,12.500832878755851,17.073615011375637
370,MT_207,96,45.41088447224812,57.04485284653014
370,MT_208,96,217.38082231794104,394.7286511768273
370,MT_209,96,16.151864687601726,23.48882201026267
370,MT_210,96,38.71063244250388,62.53563696057912
370,MT_211,96,11.538727521896362,19.305646186456187
370,MT_212,96,19.64998726142471,34.38379534663929
370,MT_213,96,50.91744974705952,89.22483665655211
370,MT_214,96,14.897553785755285,18.054178459678706
370,MT_215,96,7.458217804248579,9.41084985191165
370,MT_216,96,47.62724002572009,56.39275198535279
370,MT_217,96,10.813647057338995,16.89224350430087
370,MT_218,96,49.236210699868536,64.687709103781
370,MT_219,96,63.070246532399175,112.73632293216832
370,MT_220,96,120.99465953649853,184.7112925227613
370,MT_221,96,8.085197674200026,10.998780913508075
370,MT_222,96,49.41017479366726,74.30268691104074
370,MT_223,96,8.870238346643291e-10,1.1818306810262635e-09
370,MT_224,96,140.02106936542322,183.0191263770241
370,MT_225,96,12.4860990880951,16.313487863763584
370,MT_226,96,32.20462957623397,47.925095153955176
370,MT_227,96,17.047293164468986,23.26230923551684
370,MT_228,96,131.53102192125758,162.51676930504792
370,MT_229,96,30.83122256660738,37.59139720156215
370,MT_230,96,3.7077547677072986,4.772309636843433
370,MT_231,96,32.18191353117132,48.00813168489928
370,MT_232,96,2.6081425876390436,3.2921946161177558
370,MT_233,96,6.288520976779151,8.55025978094609
370,MT_234,96,3.233456884208057,4.309733431805428
370,MT_235,96,26.435703670277377,34.65720177655975
370,MT_236,96,6.25745082545258,9.228596690409079
370,MT_237,96,3.227326244471596,4.596788474727745
370,MT_238,96,19.711284319559734,24.67880525614269
370,MT_239,96,6.032375548557979,8.694281497300802
370,MT_240,96,11.22424160141545,17.24799024883485
370,MT_241,96,146.22764997129116,180.93554321087936
370,MT_242,96,9.149683935386888,11.116161876787725
370,MT_243,96,10.666747728256487,13.59594944356905
370,MT_244,96,7.696402270162946,11.289443641472841
370,MT_245,96,9.587100184283585,12.9281160559735
370,MT_246,96,28.83453518193451,37.637824253477646
