Model,Series_ID,Horizon,MAE,RMSE
Chronos-2,MT_073,96,3.2810638929916514,4.060496121788061
Chronos-2,MT_074,96,6.885550261061602,9.070680718903317
Chronos-2,MT_075,96,3.4576088695532357,4.578613213690081
Chronos-2,MT_076,96,7.5461627977951515,9.405565164417945
Chronos-2,MT_077,96,4.873777227803369,6.083861209895212
Chronos-2,MT_078,96,3.087587313483193,4.399504460913696
Chronos-2,MT_079,96,3.5742927562140046,4.137511233335804
Chronos-2,MT_080,96,2.4879267753931043,3.2188219195591286
Chronos-2,MT_081,96,6.512657223963264,8.672372813576018
Chronos-2,MT_082,96,2.7661474245463213,3.4517445347877884
Chronos-2,MT_083,96,5.660017355062983,7.402139364552111
Chronos-2,MT_084,96,19.94911705994907,25.492332274896587
Chronos-2,MT_085,96,13.899971985015123,16.681739551965652
Chronos-2,MT_086,96,39.51741492120846,53.148772635892726
Chronos-2,MT_087,96,11.43462400857882,14.473785640975784
Chronos-2,MT_088,96,18.46107601236418,24.579507279729935
Chronos-2,MT_089,96,35.15220299389416,42.731747190215366
Chronos-2,MT_090,96,75.37225993277123,102.70389386560517
Chronos-2,MT_091,96,10.863468543672488,14.267793103345735
Chronos-2,MT_092,96,5.528201747472906,7.800037507786401
Chronos-2,MT_093,96,14.461787274646275,29.974345226400033
Chronos-2,MT_094,96,7.412230313065195,18.89328570908152
Chronos-2,MT_095,96,6.928587954581793,12.880882706431578
Chronos-2,MT_096,96,3.3187937611974956,4.709565469549261
Chronos-2,MT_097,96,24.829158142501303,34.34820736877244
Chronos-2,MT_098,96,42.789948399547114,72.11733792530278
Chronos-2,MT_099,96,94.1362829208374,151.51853786415958
Chronos-2,MT_100,96,2.594578987828259,3.3617960806739022
Chronos-2,MT_101,96,27.72193940369786,49.90601329664182
Chronos-2,MT_102,96,208.59933416668093,380.7980151054911
Chronos-2,MT_103,96,47.27218568661758,76.38707971975508
Chronos-2,MT_104,96,29.47195740658849,45.69762003156958
Chronos-2,MT_105,96,22.357176915360622,33.52400146869648
Chronos-2,MT_106,96,2.3729465584771514,3.2202486767880822
Chronos-2,MT_107,96,2.7910939181188286,4.00162578245847
Chronos-2,MT_108,96,1.9273652723638974,2.5774704297268722
Chronos-2,MT_109,96,9.574507609326801,10.990594246615693
Chronos-2,MT_110,96,9.429108575117843,16.88438711614188
Chronos-2,MT_111,96,21.458631122321417,24.102560141453306
Chronos-2,MT_112,96,6.112181259536844,7.653664419739608
Chronos-2,MT_113,96,3.9557582788678083,6.004104507836247
Chronos-2,MT_114,96,41.19440505678295,57.19511530026741
Chronos-2,MT_115,96,5.186082349452439,6.949994742478361
Chronos-2,MT_116,96,8.727136250301546,10.000313285870801
Chronos-2,MT_117,96,3.2924640245583645,4.076339156815151
Chronos-2,MT_118,96,7.953662273498161,9.83890661394815
Chronos-2,MT_119,96,20.185129333049698,21.41583755112182
Chronos-2,MT_120,96,4.363883921201683,6.440062439783588
Chronos-2,MT_121,96,24.905337094528146,29.233475016127276
Chronos-2,MT_122,96,8.705228228819434,9.910016452684346
Chronos-2,MT_123,96,3.2533776754472896,4.265819496707815
Chronos-2,MT_124,96,57.92453780546905,70.42760585345181
Chronos-2,MT_125,96,6.365117453930115,8.458806787379281
Chronos-2,MT_126,96,5.5711360550506654,7.134513024927072
Chronos-2,MT_127,96,19.988519971301425,26.462234023431904
Chronos-2,MT_128,96,30.1045803346526,38.06024019889388
Chronos-2,MT_129,96,5.0459914166310655,6.02881950695106
Chronos-2,MT_130,96,68.45592178791873,89.34884101061982
Chronos-2,MT_131,96,69.70987894799973,89.35777964118124
Chronos-2,MT_132,96,18.21131331738813,27.334628453743267
Chronos-2,MT_133,96,1.4399224738266614,1.7924722984712984
Chronos-2,MT_134,96,1.6693897845712555,2.974453686514281
Chronos-2,MT_135,96,4.349522617237792,9.720005954675761
Chronos-2,MT_136,96,20.288988812422687,42.47483297899356
Chronos-2,MT_137,96,9.383745943587137,14.682171475363493
Chronos-2,MT_138,96,15.232014829244823,18.894505395523836
Chronos-2,MT_139,96,59.55525898566405,97.86688477923796
Chronos-2,MT_140,96,4.505244810905707,9.147020055274506
Chronos-2,MT_141,96,0.3120983094078988,0.47820487987293553
Chronos-2,MT_142,96,10.614363507327875,12.799993711530652
Chronos-2,MT_143,96,29.137739728728576,34.03467881642301
Chronos-2,MT_144,96,5.942714802621928,7.0942833327886445
Chronos-2,MT_145,96,2.587829816761531,3.0575111214966775
Chronos-2,MT_146,96,1.9856276240668393,2.9804976295545496
Chronos-2,MT_147,96,69.88858286539734,106.63006771473957
Chronos-2,MT_148,96,8.43900316346858,12.951506296188613
Chronos-2,MT_149,96,2.3705764390602635,3.2205562799017704
Chronos-2,MT_150,96,0.31607401040271754,0.45114121508014055
